AB;title
16;Allgemeine öffentliche Verwaltung
17;Staatsschuldentransaktionen
25;Verteidigung
31;Polizei
33;Gerichte
34;Justizvollzug
36;Öffentliche Ordnung und Sicherheit
42;Land- und Forstwirtschaft, Fischerei und Jagd
45;Verkehr
49;Wirtschaftliche Angelegenheiten
56;Umweltschutz
61;Wohnungswesen,
76;Gesundheitswesen
82;Kultur
84;Religiöse und andere Gemeinschaftsangelegenheiten
86;Sport
91;Elementar- und Primärbereich
92;Sekundarbereich
94;Tertiärbereich
98;Bildungswesen
99;Grundlagen-, angewandte Forschung und experimentelle Entwicklung
9;Soziale Sicherung